,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1315000,14237488,JK303780,2026-06-21T21:00:00.000,054XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,923,9,14.0,63.0,06,1155977.0,1868216.0,2026,2026-06-29T15:42:22.000,41.794172544,-87.70357593,"{'latitude': '41.794172544', 'longitude': '-87.70357593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315001,14237540,JK303816,2026-06-21T21:00:00.000,001XX E 70TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,False,322,3,6.0,69.0,14,1178547.0,1858640.0,2026,2026-06-29T15:42:22.000,41.767411514,-87.621103862,"{'latitude': '41.767411514', 'longitude': '-87.621103862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315002,14237544,JK303776,2026-06-21T21:00:00.000,027XX W DEVON AVE,1330,CRIMINAL TRESPASS,TO LAND,TAVERN / LIQUOR STORE,True,False,2413,24,50.0,2.0,26,1156745.0,1942345.0,2026,2026-06-29T15:42:22.000,41.99757373,-87.698749139,"{'latitude': '41.99757373', 'longitude': '-87.698749139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315003,14237641,JK303864,2026-06-21T21:00:00.000,027XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1032,10,22.0,30.0,08B,1153478.0,1885538.0,2026,2026-06-29T15:42:22.000,41.841756307,-87.712280645,"{'latitude': '41.841756307', 'longitude': '-87.712280645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315004,14237689,JK303801,2026-06-21T21:00:00.000,024XX W 24TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1034,10,25.0,31.0,08B,1160412.0,1888004.0,2026,2026-06-29T15:42:22.000,41.848382869,-87.686766844,"{'latitude': '41.848382869', 'longitude': '-87.686766844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315005,14237732,JK303986,2026-06-21T21:00:00.000,081XX S FAIRFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,835,8,18.0,70.0,08B,1159459.0,1850512.0,2026,2026-06-29T15:42:22.000,41.745519479,-87.691292125,"{'latitude': '41.745519479', 'longitude': '-87.691292125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315006,14237776,JK304136,2026-06-21T21:00:00.000,012XX W MADISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1224,12,34.0,28.0,07,1168058.0,1900166.0,2026,2026-06-29T15:42:22.000,41.881595001,-87.658354666,"{'latitude': '41.881595001', 'longitude': '-87.658354666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315007,14237799,JK304141,2026-06-21T21:00:00.000,039XX W SCHUBERT AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,2524,25,35.0,22.0,06,1149746.0,1917676.0,2026,2026-06-29T15:42:22.000,41.930019697,-87.725140159,"{'latitude': '41.930019697', 'longitude': '-87.725140159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315008,14237914,JK304250,2026-06-21T21:00:00.000,062XX N MOZART ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,2413,24,50.0,2.0,08A,1156207.0,1941335.0,2026,2026-06-29T15:42:22.000,41.99481317,-87.700755694,"{'latitude': '41.99481317', 'longitude': '-87.700755694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315009,14238226,JK304610,2026-06-21T21:00:00.000,020XX N KILDARE AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,2522,25,35.0,20.0,06,1147391.0,1913144.0,2026,2026-06-29T15:42:22.000,41.917628976,-87.733910675,"{'latitude': '41.917628976', 'longitude': '-87.733910675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
